Bénéficiaires,Aides directes (1) (en €),Dont aides au pluralisme (Aides directes) (en €),Dont aide au portage (Aides directes) (en €),Dont FSDP (Aides directes) (en €),Dont FSEIP (bourses d’émergence) (en €),Aide filière (aide à la distribution) (2)  (en €),Aide aux tiers (modernisation sociale) (3)  (en €),Total des aides individuelles (1+2+3) (en €),propriétaire,,Diffusion annuelle (en exemplaires,Aide par exemplaire (en €),Année,Type média,Type média,,
1 JOUR 1 ACTU,127 125,127 125,,,,,,127 125,Indépendants ,,Nc.,-,2017,Actualités,,,
acteurspublics.com,241 494,,,241 494,,,,241 494,Indépendants ,,-,-,2017,Politique,,,
actu.nc,3 671,3 671,,,,,,3 671,Indépendants ,,-,-,2017,Actualités,,,
africanintelligence.fr/.com,32 399,,,32 399,,,,32 399,Indépendants ,,-,-,2017,Politique,Economie,,
ALBERT,1 500,1 500,,,,,,1 500,Indépendants ,,Nc.,-,2017,Actualités,,,
aleteia.org,22 583,,,22 583,,,,22 583,Indépendants ,,-,-,2017,Actualités,Religion,,
alimentation-generale.fr,39 687,,,39 687,,,,39 687,Indépendants ,,-,-,2017,Alimentation,,,
ALTERNATIVES ECONOMIQUES,187 029,187 029,,,,,,187 029,Indépendants ,,998 424,"0,187",2017,Economie,Politique,,
aoc.media,50 000,,,,50 000,,,50 000,Indépendants ,,-,-,2017,Actualités,,,
AUJOURD'HUI EN FRANCE,124 627,,124 627,,,8 199 000,,8 323 627,LVMH,,43 365 030,"0,192",2017,Actualités locales,,,
biotechinfo.fr,19 585,,,19 585,,,,19 585,Indépendants ,,-,-,2017,Sciences,Technologies,,
BOUDU,2 891,2 891,,,,,,2 891,Indépendants ,,-,-,2017,Actualités locales,,,
BRETONS,9 990,9 990,,,,,,9 990,Indépendants ,,-,-,2017,Actualités locales,,,
brief.me,94 671,,,94 671,,,,94 671,Indépendants ,,-,-,2017,Actualités,,,
cadredeville.com,44 421,,,44 421,,,,44 421,Indépendants ,,-,-,2017,Urbanisme,,,
cameditsport.com,30 000,,,,30 000,,,30 000,Indépendants ,,-,-,2017,Sports,,,
CAUSETTE,122 443,122 443,,,,,,122 443,Hildegarde,,576 223,"0,212",2017,Actualités,,,
CAUSEUR,23 930,23 930,,,,,,23 930,Indépendants ,,Nc.,-,2017,Actualités,,,
CENTRE PRESSE AVEYRON,620 018,84 000,536 018,,,,,620 018,Les Journaux du midi,,5 669 889,"0,109",2017,Actualités locales,,,
CENTRE PRESSE VIENNE,37 869,,37 869,,,,,37 869,Groupe NRCO,,3 451 204,"0,011",2017,Actualités locales,,,
CHARLES,3 811,3 811,,,,,,3 811,Indépendants ,,Nc.,-,2017,Politique,,,
CHARLIE HEBDO,281 604,281 604,,,,,,281 604,Indépendants ,,Nc.,-,2017,Satire,,,
chine-magazine.com,3 309,,,3 309,,,,3 309,Indépendants ,,-,-,2017,Actualités étrangères,,,
CLARA MAGAZINE,2 353,2 353,,,,,,2 353,Indépendants ,,Nc.,-,2017,Actualités,,,
coeursdathletes.fr,21 566,,,21 566,,,,21 566,Indépendants ,,-,-,2017,Sports,,,
CONCORDE,3 671,3 671,,,,,,3 671,Indépendants ,,Nc.,-,2017,Actualités locales,,,
consoglobe.com,41 172,,,41 172,,,,41 172,Indépendants ,,-,-,2017,Environnement,Ecologie,,
contexte.com,313 690,,,313 690,,,,313 690,Indépendants ,,-,-,2017,Actualités locales,,,
CORSE MATIN,72 300,,72 300,,,,,72 300,Groupe La Provence,,11 814 521,"0,006",2017,Actualités,,,
COURRIER INTERNATIONAL,294 944,281 604,,13 340,,,,294 944,Le Monde SA,,8 805 582,"0,033",2017,Actualités,,,
DEMOCRATE IndépendantsPENDANT,6 195,6 195,,,,,,6 195,Indépendants ,,259 825,"0,024",2017,Actualités locales,,,
DEMOCRATE VERNONNAIS,4 229,4 229,,,,,,4 229,Indépendants ,,241 958,"0,017",2017,Actualités locales,,,
editionscdp.fr,13 805,,,13 805,,,,13 805,Indépendants ,,-,-,2017,Médecine,,,
entraid.com,104 046,,,104 046,,,,104 046,Indépendants ,,-,-,2017,Agriculture,,,
ernestmag.fr,8 000,,,,8 000,,,8 000,Indépendants ,,-,-,2017,Actualités littéraires,,,
espaceinfirmier.fr,13 805,,,13 805,,,,13 805,Indépendants ,,-,-,2017,Médecine,,,
esprit.presse.fr,41 507,,,41 507,,,,41 507,Indépendants ,,-,-,2017,Actualités,,,
FAKIR,18 511,18 511,,,,,,18 511,Indépendants ,,-,-,2017,Reportages,Enquêtes sociales,,
FAMILLE CHRETIENNE,281 604,281 604,,,,,,281 604,Media participations,,2 774 107,"0,102",2017,Actualités,Religion,,
FRANCE ANTILLES GUADELOUPE,791,,791,,,,,791,Hersant Média,,Nc.,-,2017,Actualités locales,,,
FRANCE ANTILLES MARTINIQUE,19 439,,19 439,,,,,19 439,Hersant Média,,Nc.,-,2017,Actualités locales,,,
GRAND EST MAGAZINE,8 540,8 540,,,,,,8 540,Groupe EBRA,,Nc.,-,2017,Actualités,,,
HAUT ANJOU,13 123,13 123,,,,,,13 123,Groupe Sud Ouest,,594 685,"0,022",2017,Actualités locales,,,
HAUTE GIRONDE,6 057,6 057,,,,,,6 057,Indépendants ,,247 789,"0,024",2017,Actualités locales,,,
HAUTE PROVENCE INFO,3 671,3 671,,,,,,3 671,Indépendants ,,Nc.,-,2017,Actualités locales,,,
HAUTE SAINTONGE,9 075,9 075,,,,,,9 075,Indépendants ,,Nc.,-,2017,Actualités locales,,,
HAVRE LIBRE  (*),244 449,33 718,210 731,,,,,244 449,Hersant Média,,Nc.,-,2017,Actualités locales,,,
HAVRE PRESSE - PROGRES DE FECAMP (*),260 123,37 772,222 351,,,,,260 123,Hersant Média,,Nc.,-,2017,Actualités locales,,,
HERRIA,4 451,4 451,,,,,,4 451,Indépendants ,,Nc.,-,2017,Actualités locales,,,
HOMME NOUVEAU,21 101,21 101,,,,,,21 101,Indépendants ,,Nc.,-,2017,Religion,,,
Intelligenceonline.fr/.com,32 399,,,32 399,,,,32 399,Indépendants ,,-,-,2017,Economie,Politique,,
IPAR EUSKAL HERRIKO HITZA,3 781,3 781,,,,,,3 781,Indépendants ,,Nc.,-,2017,Actualités locales,,,
JEUNE AFRIQUE,415 204,,,415 204,,,,415 204,Indépendants ,,2 133 654,"0,195",2017,Actualités étrangères,,,
KEZAKO,1 500,1 500,,,,,,1 500,Indépendants ,,Nc.,-,2017,Société,,,
kineactu.com,29 015,,,29 015,,,,29 015,Indépendants ,,-,-,2017,Médecine,,,
LA CHARENTE LIBRE,66 832,,66 832,,,,,66 832,Groupe Sud Ouest,,9 529 805,"0,007",2017,Actualités locales,,,
LA CHRONIQUE REPUBLICAINE,10 278,10 278,,,,,,10 278,Indépendants,,644 053,"0,016",2017,Actualités locales,,,
LA CROIX,4 392 565,2 921 455,1 349 442,121 668,,232 200,,4 624 765,Bayard ,,30 303 754,"0,153",2017,Actualités,,,
LA DECROISSANCE,21 419,21 419,,,,,,21 419,Indépendants ,,Nc.,-,2017,Politique,,,
LA DEPECHE - Evreux - Louviers - Verneuil,10 320,10 320,,,,,,10 320,Groupe La Dépêche du Midi,,598 017,"0,017",2017,Actualités locales,,,
LA DEPECHE DU BASSIN,6 549,6 549,,,,,,6 549,Groupe La Dépêche du Midi,,220 320,"0,03",2017,Actualités locales,,,
LA DEPECHE DU MIDI,1 186 883,,512 960,673 923,,,352 343,1 539 226,Groupe La Dépêche du Midi,,43 570 131,"0,035",2017,Actualités locales,,,
LA DORDOGNE LIBRE,101 758,38 613,63 145,,,,,101 758,Groupe Sud Ouest,,1 596 280,"0,064",2017,Actualités locales,,,
LA DROME HEBDO,3 671,3 671,,,,,,3 671,Indépendants ,,127 271,"0,029",2017,Actualités locales,,,
LA GAZETTE     -     L'hebdo de Thiers et sa région,4 877,4 877,,,,,,4 877,Groupe La Montagne,,187 285,"0,026",2017,Actualités locales,,,
LA GAZETTE ARIEGEOISE,4 851,4 851,,,,,,4 851,Indépendants ,,Nc.,-,2017,Actualités locales,,,
LA GAZETTE DE LA HAUTE LOIRE,4 018,4 018,,,,,,4 018,Groupe La Montagne,,165 463,"0,024",2017,Actualités locales,,,
LA GAZETTE DE LA MANCHE,5 206,5 206,,,,,,5 206,Indépendants,,407 559,"0,013",2017,Actualités locales,,,
LA GAZETTE DE MONTPELLIER,20 195,20 195,,,,,,20 195,Indépendants ,,798 259,"0,025",2017,Actualités locales,,,
LA GAZETTE DE NIMES,7 185,7 185,,,,,,7 185,Groupe La Dépêche du Midi,,288 993,"0,025",2017,Actualités locales,,,
LA GAZETTE DU CENTRE MORBIHAN,8 870,4 201,4 669,,,,,8 870,Indépendants,,346 502,"0,026",2017,Actualités locales,,,
LA GAZETTE DU COMMINGES,4 360,4 360,,,,,,4 360,Groupe La Dépêche du Midi,,Nc.,-,2017,Actualités locales,,,
LA GAZETTE DU VAL D'OISE,2 422,2 422,,,,,,2 422,Indépendants,,Nc.,-,2017,Actualités locales,,,
